task,data_id,et_cm,er_deg,ej_cm,eft_cm,n_frames,success
Y03021-0001-0000,0,2.2506,5.4719,3.2497,2.9968,71,1
Y03021-0001-0002,0,9.8934,19.5837,4.6865,4.2513,55,0
Y27035-0001-0000,0,3.6077,5.2650,3.9787,4.0542,41,0
Y27035-0001-0002,0,1.8185,4.7603,4.0026,3.8992,55,1
Y29040-0001-0000,0,13.3026,81.0886,5.6478,5.8302,38,0
Y29040-0001-0002,0,5.8749,41.5188,4.8639,4.6278,71,0
Y35037-0001-0000,0,4.9952,25.5601,4.1214,4.0185,45,0
Y35037-0001-0002,0,10.5383,22.9910,2.4547,2.2623,81,0
MEAN,,4.7363,14.4737,4.2387,4.1267,15949,
STD,,3.6689,16.9148,1.2314,1.2712,,
SR,,39.7%,86.4%,99.6%,90.5%,242,39.7%
